ETF,Spread,Avg Vol,12-Month Yield,Expense Ratio,5-year monthly return,5-year Sharpe ratio,Morningstar Rating
VOO,0.03%,5.7 Mil,1.46%,0.030%,+52.06% ,0.78,5
IVV,0.03%,6.5 Mil,1.42%,0.030%,+51.09%,0.78,4
